#{"t_start": 1748433463.6199374, "env_id": "None"}
r,l,t
-1189.859258,24,326.763929
-1189.859258,24,328.049738
-1189.859258,24,329.372029
-1189.859258,24,330.700325
-1192.252376,24,332.184455
-1189.486479,24,333.552028
-1189.834627,24,334.851133
-1189.480424,24,336.219364
-1191.702211,24,337.58137
-1191.109581,24,338.975741
-1190.87644,24,340.31491
-1190.450815,24,341.62518
-1190.239481,24,342.978372
-1192.383202,24,344.310766
-1191.259194,24,345.625066
-1190.40915,24,346.980473
-1190.572218,24,348.285025
-1190.631384,24,349.617863
-1191.26541,24,350.935471
-1190.444014,24,352.272319
-1189.841989,24,353.623306
-1191.868513,24,354.927265
-1190.423186,24,356.28039
-1189.864179,24,357.616982
-1189.475913,24,358.919355
-1189.845931,24,360.389436
-1189.722045,24,361.70786
-1190.732672,24,363.052461
-1191.178411,24,364.380031
-1189.693013,24,365.694333
-1191.424706,24,367.060677
-1192.404067,24,368.428955
-1190.614097,24,369.759049
-1190.15328,24,371.083414
-1190.890616,24,372.42392
-1189.648334,24,373.772376
-1189.872341,24,375.088587
-1189.860822,24,376.421374
-1189.326167,24,377.764372
-1189.602059,24,379.064842
-1191.407542,24,380.409426
-1190.892292,24,381.729961
-1190.775268,24,383.042998
-1191.389553,24,384.380943
-1189.8035,24,385.688946
-1189.859258,24,387.995465
-1189.859258,24,389.326601
-1189.859258,24,390.639128
-1189.859258,24,391.983296
-1189.859258,24,393.323796
-1189.454845,24,394.635378
-1189.928378,24,395.974087
-1189.689398,24,397.319826
-1191.653304,24,398.624428
-1189.758912,24,399.983247
-1190.611734,24,401.292065
-1191.83803,24,403.953717
-1189.629981,24,405.279609
-1191.376829,24,406.622562
-1192.637749,24,407.923282
-1189.467983,24,409.25159
-1190.599428,24,410.55628
-1189.639055,24,411.934632
-1191.004797,24,413.297811
-1191.229966,24,414.877689
-1190.718177,24,416.264587
-1189.616812,24,417.634326
-1190.702143,24,418.9354
-1190.147511,24,420.287234
-1190.096298,24,421.60975
-1189.357026,24,422.940404
-1191.362484,24,424.277921
-1189.611129,24,425.599525
-1191.186083,24,426.969241
-1189.488142,24,428.348925
-1191.46233,24,429.70557
-1191.252157,24,431.058123
-1192.639248,24,432.510262
-1189.398336,24,433.878792
-1189.311635,24,435.210403
-1190.112644,24,436.554768
-1189.837453,24,437.896894
-1192.021516,24,439.200841
-1189.934479,24,440.585042
-1190.188643,24,441.927721
-1192.583548,24,443.335141
-1189.945856,24,444.68576
-1190.009039,24,445.997737
-1189.399845,24,447.341668
-1189.574469,24,448.67262
-1189.653908,24,450.003875
-1190.145337,24,452.315134
-1190.145337,24,453.651628
-1190.145337,24,454.990438
-1190.145337,24,456.303775
-1190.145337,24,457.684258
-1193.145707,24,458.988281
-1189.887021,24,460.39681
-1190.621756,24,461.747308
-1189.762531,24,463.083334
-1190.52363,24,464.433789
-1189.818641,24,465.753416
-1190.168288,24,467.116004
-1191.581582,24,468.482811
-1191.251222,24,469.797849
-1189.786009,24,471.2753
-1190.001697,24,472.63479
-1189.741178,24,473.97767
-1190.856682,24,475.327232
-1189.512498,24,476.629392
-1189.502116,24,477.970837
-1193.220893,24,479.285926
-1192.249655,24,480.609772
-1189.881108,24,482.049443
-1190.158066,24,483.391621
-1191.372521,24,484.743037
-1189.510621,24,486.06369
-1189.652975,24,487.423374
-1189.461685,24,488.778583
-1191.328457,24,490.102444
-1192.249707,24,491.604284
-1192.244135,24,492.976682
-1189.491794,24,494.288338
-1189.667455,24,495.620535
-1190.965344,24,496.946395
-1192.149624,24,498.398635
-1189.509783,24,499.741234
-1189.431133,24,501.072242
-1191.298098,24,502.477992
-1189.692304,24,503.809229
-1189.912143,24,505.114481
-1189.965324,24,506.459432
-1189.852111,24,507.761745
-1193.178121,24,509.107913
-1190.52678,24,510.498353
-1190.262953,24,511.854492
-1190.912432,24,513.223157
-1190.145337,24,515.480498
-1190.145337,24,516.801944
-1190.145337,24,518.157674
-1190.145337,24,519.488464
-1190.145337,24,520.820142
-1191.067086,24,522.177359
-1190.037868,24,523.489773
-1191.301954,24,524.942071
-1191.613436,24,526.515876
-1190.821438,24,527.879559
-1190.232643,24,529.246058
-1190.926801,24,530.580556
-1189.763552,24,531.962875
-1191.999434,24,534.551122
-1192.87801,24,535.905204
-1190.694165,24,537.222057
-1191.122823,24,538.57812
-1192.037377,24,539.953243
-1190.067793,24,541.266272
-1190.511479,24,542.619117
-1190.0476,24,543.957816
-1191.369737,24,545.269789
-1192.48155,24,546.611018
-1190.963377,24,547.931139
-1190.239602,24,549.280617
-1190.410344,24,550.613635
-1190.272587,24,552.001187
-1192.182711,24,553.433753
-1192.939049,24,554.884396
-1190.848665,24,556.299499
-1191.578429,24,557.695896
-1191.482223,24,558.999522
-1191.270352,24,560.360784
-1190.454483,24,561.719918
-1193.95788,24,563.027589
-1192.173073,24,564.384107
-1189.911865,24,565.688435
-1189.819108,24,567.056457
-1189.530027,24,568.42252
-1192.286036,24,569.726835
-1190.668581,24,571.062409
-1191.676997,24,572.406605
-1190.738096,24,573.771417
-1192.814465,24,575.103036
-1192.321545,24,576.428043
-1192.634292,24,577.761624
-1190.693714,24,579.963387
-1190.693714,24,581.361971
-1190.693714,24,582.796495
-1190.693714,24,584.144888
-1190.693714,24,585.47307
-1190.443309,24,586.816008
-1191.056585,24,588.134126
-1190.558702,24,589.45325
-1189.976804,24,590.816317
-1192.424571,24,592.198214
-1191.466562,24,593.586647
-1190.078615,24,594.914469
-1190.1859,24,596.238519
-1190.225669,24,597.591078
-1190.212516,24,598.890566
-1189.923877,24,600.220586
-1191.3144,24,601.5582
-1191.794358,24,602.921213
-1191.234424,24,604.283814
-1193.46704,24,605.609396
-1191.046345,24,606.97421
-1192.02438,24,608.330015
-1190.927542,24,609.780658
-1190.991225,24,611.136035
-1193.209653,24,612.54354
-1190.65199,24,613.958386
-1190.530409,24,615.303881
-1190.263717,24,616.641612
-1191.574547,24,617.988773
-1190.682585,24,619.324754
-1190.660469,24,620.674023
-1190.517773,24,622.02696
-1193.151525,24,623.320365
-1191.015952,24,624.675076
-1190.982286,24,626.015162
-1193.448716,24,627.327189
-1190.268231,24,628.677506
-1191.048668,24,629.977192
-1190.64601,24,631.296317
-1190.386476,24,632.667949
-1191.995614,24,633.982023
-1191.868379,24,635.299724
-1193.889722,24,636.610698
-1190.953903,24,638.048481
-1189.408895,24,639.415748
-1190.196481,24,640.744826
-1190.693714,24,642.980273
-1190.693714,24,644.319836
-1190.693714,24,645.608544
-1190.693714,24,646.987974
-1190.693714,24,648.359629
-1189.60222,24,649.668087
-1190.167463,24,650.999804
-1190.202024,24,652.357164
-1191.439486,24,653.720054
-1193.206162,24,655.04158
-1189.8315,24,656.377602
-1191.96,24,657.757956
-1190.302126,24,659.089941
-1191.285249,24,660.408775
-1191.073408,24,661.746812
-1190.385261,24,664.400099
-1189.788941,24,665.862331
-1189.454028,24,667.184522
-1190.135851,24,668.51463
-1189.59821,24,669.825871
-1190.385788,24,671.185718
-1191.729874,24,672.570039
-1190.232163,24,673.925219
-1191.552977,24,675.276781
-1189.608578,24,676.593942
-1189.814834,24,677.948415
-1191.947686,24,679.271848
-1189.66953,24,680.589639
-1190.882187,24,681.922635
-1191.128197,24,683.227876
-1190.261653,24,684.673753
-1192.405401,24,686.005543
-1190.304971,24,687.310209
-1192.542403,24,688.675199
-1190.499523,24,689.970665
-1190.42792,24,691.308666
-1189.916855,24,692.706383
-1189.807173,24,694.133143
-1190.821245,24,695.453866
-1189.850176,24,696.777371
-1190.354918,24,698.09911
-1190.836423,24,699.420276
-1191.142482,24,700.743015
-1190.938454,24,702.076689
